CustomerID,CustomerName,Region,City
C011,Customer 11,Region 6,City 12
C106,Customer 106,Region 2,City 17
C145,Customer 145,Region 10,City 26
C183,Customer 183,Region 1,City 4
C259,Customer 259,Region 7,City 20
C191,Customer 191,Region 5,City 12
C074,Customer 74,Region 7,City 15
C198,Customer 198,Region 4,City 19
C137,Customer 137,Region 10,City 18
C278,Customer 278,Region 2,City 9
C177,Customer 177,Region 8,City 28
C269,Customer 269,Region 6,City 30
C159,Customer 159,Region 9,City 10
C233,Customer 233,Region 2,City 24
C255,Customer 255,Region 9,City 16
C071,Customer 71,Region 3,City 12
C150,Customer 150,Region 8,City 1
C068,Customer 68,Region 5,City 9
C286,Customer 286,Region 10,City 17
C285,Customer 285,Region 3,City 16
C235,Customer 235,Region 4,City 26
C148,Customer 148,Region 1,City 29
C227,Customer 227,Region 9,City 18
C102,Customer 102,Region 7,City 13
C118,Customer 118,Region 4,City 29
C076,Customer 76,Region 6,City 17
C131,Customer 131,Region 7,City 12
C049,Customer 49,Region 2,City 20
C290,Customer 290,Region 2,City 21
C081,Customer 81,Region 7,City 22
C199,Customer 199,Region 8,City 20
C156,Customer 156,Region 2,City 7
C117,Customer 117,Region 10,City 28
C033,Customer 33,Region 1,City 4
C175,Customer 175,Region 4,City 26
C158,Customer 158,Region 9,City 9
C260,Customer 260,Region 3,City 21
C181,Customer 181,Region 4,City 2
C210,Customer 210,Region 7,City 1
C135,Customer 135,Region 2,City 16
C128,Customer 128,Region 2,City 9
C124,Customer 124,Region 5,City 5
C036,Customer 36,Region 9,City 7
C223,Customer 223,Region 3,City 14
C204,Customer 204,Region 3,City 25
C155,Customer 155,Region 3,City 6
C021,Customer 21,Region 5,City 22
C153,Customer 153,Region 1,City 4
C030,Customer 30,Region 1,City 1
C133,Customer 133,Region 4,City 14
C271,Customer 271,Region 2,City 2
C067,Customer 67,Region 1,City 8
C152,Customer 152,Region 4,City 3
C121,Customer 121,Region 7,City 2
C172,Customer 172,Region 1,City 23
C114,Customer 114,Region 5,City 25
C045,Customer 45,Region 4,City 16
C035,Customer 35,Region 1,City 6
