ProductID,ProductName,Category,UnitPrice
P089,Product 89,Category 14,220.92
P093,Product 93,Category 3,53.85
P004,Product 4,Category 4,446.21
P049,Product 49,Category 4,491.59
P066,Product 66,Category 6,79.06
P010,Product 10,Category 10,293.01
P028,Product 28,Category 13,186.78
P077,Product 77,Category 2,475.01
P085,Product 85,Category 10,456.11
P018,Product 18,Category 3,218.78
P082,Product 82,Category 7,387.7
P069,Product 69,Category 9,386.3
P025,Product 25,Category 10,34.77
P045,Product 45,Category 15,189.29
P072,Product 72,Category 12,27.53
P043,Product 43,Category 13,374.4
P065,Product 65,Category 5,194.4
P019,Product 19,Category 4,20.62
P027,Product 27,Category 12,273.37
P030,Product 30,Category 15,225.39
P011,Product 11,Category 11,48.35
P088,Product 88,Category 13,289.01
P079,Product 79,Category 4,47.04
P037,Product 37,Category 7,329.5
P080,Product 80,Category 5,322.73
P003,Product 3,Category 3,436.22
P022,Product 22,Category 7,474.2
P084,Product 84,Category 9,410.58
P100,Product 100,Category 10,118.57
P031,Product 31,Category 1,69.9
P091,Product 91,Category 1,338.65
P056,Product 56,Category 11,261.99
P017,Product 17,Category 2,373.36
P040,Product 40,Category 10,456.29
P038,Product 38,Category 8,30.8
P058,Product 58,Category 13,201.63
P094,Product 94,Category 4,65.36
P073,Product 73,Category 13,98.73
P032,Product 32,Category 2,246.16
P086,Product 86,Category 11,371.95
P083,Product 83,Category 8,465.48
P050,Product 50,Category 5,464.52
P057,Product 57,Category 12,310.13
P067,Product 67,Category 7,245.24
P064,Product 64,Category 4,445.94
P034,Product 34,Category 4,389.34
P099,Product 99,Category 9,154.71
P098,Product 98,Category 8,335.46
P092,Product 92,Category 2,134.34
P095,Product 95,Category 5,177.16
P015,Product 15,Category 15,366.97
P096,Product 96,Category 6,437.68
P023,Product 23,Category 8,444.27
P055,Product 55,Category 10,215.67
P078,Product 78,Category 3,382.56
P090,Product 90,Category 15,299.19
P009,Product 9,Category 9,154.35
P001,Product 1,Category 1,254.75
P014,Product 14,Category 14,159.28
P039,Product 39,Category 9,489.97
P063,Product 63,Category 3,307.88
P026,Product 26,Category 11,474.87
P024,Product 24,Category 9,73.05
P005,Product 5,Category 5,86.73
P052,Product 52,Category 7,409.71
P062,Product 62,Category 2,167.7
P060,Product 60,Category 15,197.8
P044,Product 44,Category 14,37.1
P081,Product 81,Category 6,112.74
P071,Product 71,Category 11,289.19
P042,Product 42,Category 12,416.99
P068,Product 68,Category 8,366.31
P008,Product 8,Category 8,252.32
P059,Product 59,Category 14,348.66
P041,Product 41,Category 11,267.12
P002,Product 2,Category 2,181.44
P054,Product 54,Category 9,12.91
P048,Product 48,Category 3,392.2
P020,Product 20,Category 5,261.28
P029,Product 29,Category 14,260.21
P061,Product 61,Category 1,126.53
P097,Product 97,Category 7,226.37
P074,Product 74,Category 14,291.07
P021,Product 21,Category 6,126.09
P087,Product 87,Category 12,230.44
P053,Product 53,Category 8,434.3
P047,Product 47,Category 2,198.11
P076,Product 76,Category 1,21.06
P012,Product 12,Category 12,453.15
P016,Product 16,Category 1,29.92
P013,Product 13,Category 13,47.04
P035,Product 35,Category 5,149.03
P007,Product 7,Category 7,451.77
P006,Product 6,Category 6,65.37
P075,Product 75,Category 15,418.32
P046,Product 46,Category 1,42.09
P051,Product 51,Category 6,16.21
P070,Product 70,Category 10,231.01
P033,Product 33,Category 3,392.37
P036,Product 36,Category 6,93.48
