2026-07-22 15:52:34,594 | INFO | Question Received: Show all companies
2026-07-22 15:52:45,142 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-07-22 15:52:45,388 | INFO | Generated SQL: SELECT *
FROM companies;
2026-07-22 15:52:45,396 | INFO | Execution Time: 10.80 seconds
2026-07-28 10:42:38,004 | INFO | Creating database engine...
2026-07-28 10:42:38,462 | INFO | Database engine created successfully.
2026-07-28 10:43:39,784 | INFO | Creating database engine...
2026-07-28 10:43:39,819 | INFO | Database engine created successfully.
2026-07-28 10:44:06,796 | INFO | Creating database engine...
2026-07-28 10:44:06,809 | INFO | Database engine created successfully.
2026-07-28 10:44:40,684 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-07-28 10:50:39,065 | INFO | Creating database engine...
2026-07-28 10:50:39,083 | INFO | Database engine created successfully.
2026-07-28 10:50:58,475 | INFO | Creating database engine...
2026-07-28 10:50:58,501 | INFO | Database engine created successfully.
2026-07-28 10:51:25,969 | INFO | Creating database engine...
2026-07-28 10:51:26,011 | INFO | Database engine created successfully.
2026-07-28 10:51:53,998 | INFO | Creating database engine...
2026-07-28 10:51:54,042 | INFO | Database engine created successfully.
2026-07-28 10:52:12,265 | INFO | Creating database engine...
2026-07-28 10:52:12,286 | INFO | Database engine created successfully.
2026-07-28 10:59:36,326 | INFO | Creating database engine...
2026-07-28 10:59:36,350 | INFO | Database engine created successfully.
2026-07-28 11:03:10,482 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-07-28 11:08:43,664 | INFO | Creating database engine...
2026-07-28 11:08:43,685 | INFO | Database engine created successfully.
2026-07-28 11:09:08,350 | INFO | Creating database engine...
2026-07-28 11:09:08,372 | INFO | Database engine created successfully.
2026-07-28 11:10:18,714 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-07-28 11:11:46,426 | INFO | Creating database engine...
2026-07-28 11:11:46,469 | INFO | Database engine created successfully.
2026-07-28 11:12:18,712 | INFO | Creating database engine...
2026-07-28 11:12:18,737 | INFO | Database engine created successfully.
2026-07-28 11:13:01,739 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-07-28 11:13:03,490 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-07-28 11:13:05,460 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
2026-07-28 11:15:48,807 | INFO | Creating database engine...
2026-07-28 11:15:48,830 | INFO | Database engine created successfully.
2026-07-28 11:16:18,475 | INFO | Creating database engine...
2026-07-28 11:16:18,498 | INFO | Database engine created successfully.
2026-07-31 21:09:42,114 | INFO | Creating database engine...
2026-07-31 21:09:42,267 | INFO | Database engine created successfully.
2026-08-01 11:05:14,242 | INFO | Creating database engine...
