OrderID,OrderDate,CustomerID,CustomerName,Region,City,ProductID,ProductName,Category,Quantity,UnitPrice,SalesAmount,Discount,Profit
O00001,2025-06-08,C011,Customer 11,Region 6,City 12,P089,Product 89,Category 14,2,220.92,441.84,0,97.93
O00002,2025-07-05,C106,Customer 106,Region 2,City 17,P093,Product 93,Category 3,10,53.85,538.5,20,27.02
O00003,2025-06-03,C145,Customer 145,Region 10,City 26,P004,Product 4,Category 4,6,446.21,2677.26,15,283.09
O00004,2025-10-13,C183,Customer 183,Region 1,City 4,P049,Product 49,Category 4,2,491.59,983.18,20,60.93
O00005,2025-09-15,C259,Customer 259,Region 7,City 20,P066,Product 66,Category 6,5,79.06,395.3,0,20.94
O00006,2025-04-08,C191,Customer 191,Region 5,City 12,P010,Product 10,Category 10,9,293.01,2637.09,15,786.7
O00007,2025-06-26,C074,Customer 74,Region 7,City 15,P028,Product 28,Category 13,10,186.78,1867.8,0,244.81
O00008,2025-04-05,C198,Customer 198,Region 4,City 19,P077,Product 77,Category 2,1,475.01,475.01,5,43.17
O00009,2025-06-18,C074,Customer 74,Region 7,City 15,P085,Product 85,Category 10,8,456.11,3648.88,0,884.67
O00010,2025-03-15,C137,Customer 137,Region 10,City 18,P093,Product 93,Category 3,1,53.85,53.85,15,14.92
O00011,2025-05-11,C278,Customer 278,Region 2,City 9,P018,Product 18,Category 3,5,218.78,1093.9,20,297.99
O00012,2025-10-01,C074,Customer 74,Region 7,City 15,P082,Product 82,Category 7,9,387.7,3489.3,20,387.23
O00013,2025-01-19,C177,Customer 177,Region 8,City 28,P069,Product 69,Category 9,2,386.3,772.6,5,93.38
O00014,2025-05-21,C269,Customer 269,Region 6,City 30,P025,Product 25,Category 10,9,34.77,312.93,0,39.16
O00015,2025-07-10,C159,Customer 159,Region 9,City 10,P045,Product 45,Category 15,1,189.29,189.29,15,20.06
O00016,2025-08-26,C233,Customer 233,Region 2,City 24,P004,Product 4,Category 4,3,446.21,1338.63,0,350.53
O00017,2025-07-07,C255,Customer 255,Region 9,City 16,P069,Product 69,Category 9,2,386.3,772.6,10,83.62
O00018,2025-05-17,C071,Customer 71,Region 3,City 12,P049,Product 49,Category 4,8,491.59,3932.72,20,1109.51
O00019,2025-08-23,C150,Customer 150,Region 8,City 1,P072,Product 72,Category 12,7,27.53,192.71,5,27.3
O00020,2025-01-04,C068,Customer 68,Region 5,City 9,P043,Product 43,Category 13,5,374.4,1872.0,20,557.87
