OrderID,CustomerID,ProductID,OrderDate,Quantity,SalesAmount,Discount,Profit
O00001,C011,P089,2025-06-08,2,441.84,0,97.93
O00002,C106,P093,2025-07-05,10,538.5,20,27.02
O00003,C145,P004,2025-06-03,6,2677.26,15,283.09
O00004,C183,P049,2025-10-13,2,983.18,20,60.93
O00005,C259,P066,2025-09-15,5,395.3,0,20.94
O00006,C191,P010,2025-04-08,9,2637.09,15,786.7
O00007,C074,P028,2025-06-26,10,1867.8,0,244.81
O00008,C198,P077,2025-04-05,1,475.01,5,43.17
O00009,C074,P085,2025-06-18,8,3648.88,0,884.67
O00010,C137,P093,2025-03-15,1,53.85,15,14.92
O00011,C278,P018,2025-05-11,5,1093.9,20,297.99
O00012,C074,P082,2025-10-01,9,3489.3,20,387.23
O00013,C177,P069,2025-01-19,2,772.6,5,93.38
O00014,C269,P025,2025-05-21,9,312.93,0,39.16
O00015,C159,P045,2025-07-10,1,189.29,15,20.06
O00016,C233,P004,2025-08-26,3,1338.63,0,350.53
O00017,C255,P069,2025-07-07,2,772.6,10,83.62
O00018,C071,P049,2025-05-17,8,3932.72,20,1109.51
O00019,C150,P072,2025-08-23,7,192.71,5,27.3
O00020,C068,P043,2025-01-04,5,1872.0,20,557.87
O00021,C286,P065,2025-01-22,5,972.0,5,190.46
O00022,C285,P019,2025-05-25,10,206.2,0,48.78
O00023,C235,P093,2025-05-01,4,215.4,15,43.1
O00024,C148,P027,2025-08-29,2,546.74,15,113.86
O00025,C227,P030,2025-02-09,5,1126.95,20,121.53
O00026,C102,P011,2025-12-18,3,145.05,20,31.0
O00027,C118,P088,2025-05-14,2,578.02,15,103.2
O00028,C076,P079,2025-11-09,9,423.36,5,42.77
O00029,C131,P025,2025-04-02,10,347.7,5,78.82
O00030,C049,P037,2025-10-13,2,659.0,15,150.0
O00031,C290,P080,2025-09-13,3,968.19,0,166.99
O00032,C081,P003,2025-03-17,1,436.22,5,67.01
O00033,C199,P022,2025-02-07,9,4267.8,20,397.64
O00034,C156,P084,2025-06-23,4,1642.32,20,113.99
O00035,C117,P100,2025-03-29,7,829.99,5,241.29
O00036,C033,P031,2025-12-04,3,209.7,0,11.31
O00037,C175,P091,2025-11-15,4,1354.6,20,378.4
O00038,C158,P056,2025-08-24,3,785.97,10,128.66
O00039,C260,P017,2025-10-03,5,1866.8,15,454.23
O00040,C181,P040,2025-09-05,9,4106.61,5,981.11
O00041,C210,P038,2025-06-26,10,308.0,20,89.83
O00042,C135,P058,2025-04-11,6,1209.78,5,116.41
O00043,C128,P082,2025-01-26,3,1163.1,20,328.07
O00044,C124,P094,2025-03-02,2,130.72,20,8.85
O00045,C036,P073,2025-09-23,4,394.92,0,85.89
O00046,C223,P093,2025-07-17,5,269.25,20,68.8
O00047,C204,P032,2025-07-28,1,246.16,5,60.99
O00048,C155,P086,2025-11-06,6,2231.7,20,593.33
O00049,C021,P083,2025-01-05,1,465.48,5,54.3
O00050,C153,P050,2025-10-13,3,1393.56,5,352.51
O00051,C030,P057,2025-05-11,1,310.13,10,36.99
O00052,C133,P067,2025-12-17,10,2452.4,5,427.34
O00053,C271,P064,2025-11-25,3,1337.82,0,273.61
O00054,C118,P034,2025-10-14,10,3893.4,10,349.06
O00055,C067,P099,2025-01-11,7,1082.97,20,314.65
O00056,C152,P049,2025-09-05,7,3441.13,5,204.09
O00057,C121,P098,2025-10-13,9,3019.14,15,900.05
O00058,C260,P092,2025-07-11,10,1343.4,20,243.11
O00059,C172,P095,2025-11-13,2,354.32,0,44.3
O00060,C114,P003,2025-07-05,7,3053.54,5,184.05
O00061,C045,P015,2025-02-18,8,2935.76,10,284.51
O00062,C035,P096,2025-08-31,1,437.68,10,107.72
O00063,C049,P057,2025-08-08,1,310.13,20,51.73
O00064,C082,P015,2025-01-16,9,3302.73,5,502.03
O00065,C096,P023,2025-12-22,1,444.27,15,129.87
O00066,C109,P099,2025-03-01,8,1237.68,5,283.03
O00067,C275,P091,2025-01-21,10,3386.5,5,692.59
O00068,C238,P095,2025-06-25,9,1594.44,5,149.66
O00069,C128,P055,2025-06-11,9,1941.03,15,389.89
O00070,C082,P093,2025-04-21,6,323.1,15,50.83
O00071,C006,P078,2025-04-28,6,2295.36,0,319.5
O00072,C252,P056,2025-09-12,8,2095.92,20,269.62
O00073,C242,P090,2025-06-22,5,1495.95,0,118.53
O00074,C100,P009,2025-01-16,6,926.1,20,62.38
O00075,C077,P001,2025-05-08,5,1273.75,10,70.7
O00076,C251,P050,2025-04-18,6,2787.12,5,182.64
O00077,C171,P089,2025-10-28,1,220.92,0,45.28
O00078,C014,P025,2025-10-24,9,312.93,5,75.82
O00079,C033,P014,2025-06-30,1,159.28,15,14.52
O00080,C174,P093,2025-12-02,4,215.4,5,56.93
O00081,C291,P079,2025-10-11,2,94.08,15,24.65
O00082,C218,P039,2025-07-01,6,2939.82,15,212.75
O00083,C026,P080,2025-10-17,4,1290.92,15,117.88
O00084,C027,P050,2025-11-27,5,2322.6,20,188.94
O00085,C097,P014,2025-05-26,6,955.68,0,262.46
O00086,C116,P063,2025-03-23,6,1847.28,5,254.42
O00087,C267,P089,2025-09-17,9,1988.28,5,366.66
O00088,C211,P100,2025-03-07,3,355.71,0,35.49
O00089,C218,P058,2025-06-13,3,604.89,15,126.84
O00090,C124,P073,2025-04-26,10,987.3,5,55.12
O00091,C038,P017,2025-12-15,8,2986.88,10,240.77
O00092,C272,P001,2025-09-30,8,2038.0,10,490.96
O00093,C005,P037,2025-08-03,4,1318.0,15,276.63
O00094,C243,P098,2025-08-30,3,1006.38,10,61.88
O00095,C012,P026,2025-04-09,8,3798.96,10,432.41
O00096,C015,P024,2025-06-04,7,511.35,20,135.42
O00097,C115,P005,2025-06-20,7,607.11,15,137.99
O00098,C163,P052,2025-01-04,8,3277.68,10,627.84
O00099,C282,P073,2025-06-28,9,888.57,0,153.29
O00100,C026,P031,2025-05-10,7,489.3,0,90.56
O00101,C243,P089,2025-09-29,6,1325.52,0,141.11
O00102,C052,P040,2025-11-28,9,4106.61,20,307.24
O00103,C042,P085,2025-03-08,2,912.22,15,143.11
O00104,C040,P052,2025-04-29,6,2458.26,0,316.93
O00105,C276,P032,2025-08-22,9,2215.44,20,287.45
O00106,C179,P040,2025-09-20,9,4106.61,20,665.83
O00107,C244,P003,2025-11-14,7,3053.54,0,536.03
O00108,C146,P062,2025-10-18,1,167.7,15,28.34
O00109,C185,P082,2025-01-22,8,3101.6,5,198.19
O00110,C253,P065,2025-06-09,8,1555.2,5,441.08
O00111,C106,P031,2025-10-12,1,69.9,0,3.85
O00112,C270,P056,2025-08-10,7,1833.93,20,310.55
O00113,C039,P060,2025-12-16,6,1186.8,15,90.01
O00114,C225,P044,2025-08-29,4,148.4,20,41.76
O00115,C009,P085,2025-09-03,5,2280.55,5,636.91
O00116,C095,P063,2025-02-26,4,1231.52,5,150.7
O00117,C093,P081,2025-12-01,3,338.22,0,89.24
O00118,C048,P031,2025-06-25,6,419.4,10,35.08
O00119,C006,P064,2025-07-02,2,891.88,10,198.79
O00120,C046,P017,2025-08-20,3,1120.08,20,213.52
O00121,C268,P071,2025-12-13,1,289.19,15,23.73
O00122,C286,P037,2025-09-14,7,2306.5,20,591.29
O00123,C119,P042,2025-11-07,7,2918.93,20,853.46
O00124,C295,P050,2025-12-08,5,2322.6,10,313.61
O00125,C173,P066,2025-08-29,10,790.6,20,61.47
O00126,C149,P037,2025-03-06,9,2965.5,20,278.59
O00127,C033,P068,2025-10-25,6,2197.86,10,439.78
O00128,C213,P031,2025-11-09,5,349.5,20,67.85
O00129,C042,P057,2025-11-21,9,2791.17,5,805.34
O00130,C247,P019,2025-02-06,7,144.34,0,16.57
O00131,C166,P008,2025-07-24,5,1261.6,10,112.52
O00132,C296,P004,2025-01-17,7,3123.47,15,482.84
O00133,C258,P059,2025-04-30,4,1394.64,5,72.84
O00134,C274,P049,2025-09-22,4,1966.36,5,387.08
O00135,C073,P003,2025-05-11,3,1308.66,5,227.72
O00136,C234,P041,2025-05-26,5,1335.6,0,259.05
O00137,C296,P002,2025-07-03,6,1088.64,0,325.65
O00138,C097,P060,2025-04-29,1,197.8,10,46.38
O00139,C270,P081,2025-01-12,4,450.96,15,129.64
O00140,C113,P084,2025-04-04,3,1231.74,10,83.46
O00141,C275,P011,2025-04-30,3,145.05,5,14.97
O00142,C171,P083,2025-12-27,1,465.48,5,33.81
O00143,C038,P054,2025-08-20,2,25.82,15,2.5
O00144,C070,P049,2025-09-01,3,1474.77,10,373.08
O00145,C187,P040,2025-03-05,2,912.58,10,204.68
O00146,C221,P048,2025-06-11,7,2745.4,15,205.4
O00147,C078,P020,2025-02-13,6,1567.68,10,353.43
O00148,C262,P025,2025-07-19,9,312.93,5,87.79
O00149,C013,P018,2025-03-19,9,1969.02,15,465.71
O00150,C284,P073,2025-08-23,6,592.38,15,39.88
O00151,C106,P078,2025-12-12,2,765.12,10,104.16
O00152,C093,P025,2025-08-11,1,34.77,0,3.8
O00153,C287,P002,2025-02-27,8,1451.52,0,305.09
O00154,C001,P067,2025-11-30,7,1716.68,10,398.26
O00155,C062,P089,2025-04-25,5,1104.6,0,297.5
O00156,C246,P020,2025-06-22,8,2090.24,10,586.88
O00157,C106,P010,2025-01-03,9,2637.09,0,254.03
O00158,C021,P066,2025-03-19,9,711.54,10,168.9
O00159,C154,P078,2025-09-29,3,1147.68,15,66.91
O00160,C125,P029,2025-12-05,1,260.21,0,72.84
O00161,C250,P061,2025-06-04,10,1265.3,20,264.22
O00162,C112,P072,2025-08-28,10,275.3,15,37.85
O00163,C165,P002,2025-04-09,9,1632.96,5,392.58
O00164,C286,P032,2025-02-20,10,2461.6,15,133.37
O00165,C253,P100,2025-07-04,3,355.71,15,41.62
O00166,C171,P032,2025-04-16,1,246.16,20,16.22
O00167,C060,P097,2025-08-17,3,679.11,10,198.4
O00168,C271,P002,2025-08-15,10,1814.4,15,311.31
O00169,C052,P095,2025-12-04,10,1771.6,10,439.77
O00170,C293,P011,2025-02-07,7,338.45,15,82.35
O00171,C049,P064,2025-07-03,10,4459.4,0,418.83
O00172,C215,P074,2025-12-22,3,873.21,5,185.08
O00173,C035,P005,2025-06-20,8,693.84,0,199.58
O00174,C088,P039,2025-03-15,4,1959.88,20,105.28
O00175,C087,P083,2025-08-30,6,2792.88,10,249.04
O00176,C235,P034,2025-02-03,3,1168.02,10,318.66
