CustomerID,CustomerID,Region,City
C011,C011,Region 6,City 12
C106,C106,Region 2,City 17
C145,C145,Region 10,City 26
C183,C183,Region 1,City 4
C259,C259,Region 7,City 20
C191,C191,Region 5,City 12
C074,C074,Region 7,City 15
C198,C198,Region 4,City 19
C074,C074,Region 7,City 15
C137,C137,Region 10,City 18
C278,C278,Region 2,City 9
C074,C074,Region 7,City 15
C177,C177,Region 8,City 28
C269,C269,Region 6,City 30
C159,C159,Region 9,City 10
C233,C233,Region 2,City 24
C255,C255,Region 9,City 16
C071,C071,Region 3,City 12
C150,C150,Region 8,City 1
C068,C068,Region 5,City 9
C286,C286,Region 10,City 17
C285,C285,Region 3,City 16
C235,C235,Region 4,City 26
C148,C148,Region 1,City 29
C227,C227,Region 9,City 18
C102,C102,Region 7,City 13
C118,C118,Region 4,City 29
C076,C076,Region 6,City 17
C131,C131,Region 7,City 12
C049,C049,Region 2,City 20
C290,C290,Region 2,City 21
C081,C081,Region 7,City 22
C199,C199,Region 8,City 20
C156,C156,Region 2,City 7
C117,C117,Region 10,City 28
C033,C033,Region 1,City 4
C175,C175,Region 4,City 26
C158,C158,Region 9,City 9
C260,C260,Region 3,City 21
C181,C181,Region 4,City 2
C210,C210,Region 7,City 1
C135,C135,Region 2,City 16
C128,C128,Region 2,City 9
C124,C124,Region 5,City 5
C036,C036,Region 9,City 7
C223,C223,Region 3,City 14
C204,C204,Region 3,City 25
C155,C155,Region 3,City 6
C021,C021,Region 5,City 22
C153,C153,Region 1,City 4
C030,C030,Region 1,City 1
C133,C133,Region 4,City 14
C271,C271,Region 2,City 2
C118,C118,Region 4,City 29
C067,C067,Region 1,City 8
C152,C152,Region 4,City 3
C121,C121,Region 7,City 2
C260,C260,Region 3,City 21
C172,C172,Region 1,City 23
C114,C114,Region 5,City 25
C045,C045,Region 4,City 16
C035,C035,Region 1,City 6
C049,C049,Region 2,City 20
C082,C082,Region 6,City 23
C096,C096,Region 4,City 7
C109,C109,Region 8,City 20
C275,C275,Region 9,City 6
C238,C238,Region 5,City 29
C128,C128,Region 2,City 9
C082,C082,Region 6,City 23
C006,C006,Region 9,City 7
C252,C252,Region 6,City 13
C242,C242,Region 7,City 3
C100,C100,Region 1,City 11
C077,C077,Region 8,City 18
C251,C251,Region 1,City 12
C171,C171,Region 3,City 22
C014,C014,Region 7,City 15
C033,C033,Region 1,City 4
C174,C174,Region 10,City 25
C291,C291,Region 4,City 22
C218,C218,Region 4,City 9
C026,C026,Region 7,City 27
C027,C027,Region 5,City 28
C097,C097,Region 6,City 8
C116,C116,Region 1,City 27
C267,C267,Region 5,City 28
C211,C211,Region 9,City 2
C218,C218,Region 4,City 9
C124,C124,Region 5,City 5
C038,C038,Region 4,City 9
C272,C272,Region 5,City 3
C005,C005,Region 8,City 6
C243,C243,Region 10,City 4
C012,C012,Region 1,City 13
C015,C015,Region 6,City 16
C115,C115,Region 5,City 26
C163,C163,Region 5,City 14
C282,C282,Region 1,City 13
C026,C026,Region 7,City 27
C243,C243,Region 10,City 4
C052,C052,Region 4,City 23
C042,C042,Region 5,City 13
C040,C040,Region 3,City 11
C276,C276,Region 2,City 7
C179,C179,Region 5,City 30
C244,C244,Region 3,City 5
C146,C146,Region 7,City 27
C185,C185,Region 10,City 6
C253,C253,Region 7,City 14
C106,C106,Region 2,City 17
C270,C270,Region 1,City 1
C039,C039,Region 6,City 10
C225,C225,Region 7,City 16
C009,C009,Region 7,City 10
C095,C095,Region 7,City 6
C093,C093,Region 8,City 4
C048,C048,Region 10,City 19
C006,C006,Region 9,City 7
C046,C046,Region 4,City 17
C268,C268,Region 8,City 29
C286,C286,Region 10,City 17
C119,C119,Region 1,City 30
C295,C295,Region 2,City 26
C173,C173,Region 4,City 24
C149,C149,Region 9,City 30
C033,C033,Region 1,City 4
C213,C213,Region 2,City 4
C042,C042,Region 5,City 13
C247,C247,Region 6,City 8
C166,C166,Region 5,City 17
C296,C296,Region 2,City 27
C258,C258,Region 5,City 19
C274,C274,Region 1,City 5
C073,C073,Region 7,City 14
C234,C234,Region 8,City 25
C296,C296,Region 2,City 27
C097,C097,Region 6,City 8
C270,C270,Region 1,City 1
C113,C113,Region 8,City 24
C275,C275,Region 9,City 6
C171,C171,Region 3,City 22
C038,C038,Region 4,City 9
C070,C070,Region 2,City 11
C187,C187,Region 3,City 8
C221,C221,Region 1,City 12
C078,C078,Region 8,City 19
C262,C262,Region 3,City 23
C013,C013,Region 6,City 14
C284,C284,Region 8,City 15
C106,C106,Region 2,City 17
C093,C093,Region 8,City 4
C287,C287,Region 1,City 18
C001,C001,Region 10,City 2
C062,C062,Region 8,City 3
C246,C246,Region 10,City 7
C106,C106,Region 2,City 17
C021,C021,Region 5,City 22
C154,C154,Region 10,City 5
C125,C125,Region 6,City 6
C250,C250,Region 5,City 11
C112,C112,Region 10,City 23
C165,C165,Region 9,City 16
C286,C286,Region 10,City 17
C253,C253,Region 7,City 14
C171,C171,Region 3,City 22
C060,C060,Region 4,City 1
C271,C271,Region 2,City 2
C052,C052,Region 4,City 23
C293,C293,Region 3,City 24
C049,C049,Region 2,City 20
C215,C215,Region 9,City 6
C035,C035,Region 1,City 6
C088,C088,Region 5,City 29
C087,C087,Region 7,City 28
C235,C235,Region 4,City 26
C038,C038,Region 4,City 9
C253,C253,Region 7,City 14
C297,C297,Region 8,City 28
C006,C006,Region 9,City 7
C257,C257,Region 6,City 18
C253,C253,Region 7,City 14
C049,C049,Region 2,City 20
C126,C126,Region 7,City 7
C221,C221,Region 1,City 12
C030,C030,Region 1,City 1
C300,C300,Region 5,City 1
C065,C065,Region 3,City 6
C237,C237,Region 1,City 28
C129,C129,Region 10,City 10
C137,C137,Region 10,City 18
C092,C092,Region 2,City 3
C019,C019,Region 1,City 20
C274,C274,Region 1,City 5
C080,C080,Region 8,City 21
C087,C087,Region 7,City 28
C287,C287,Region 1,City 18
C181,C181,Region 4,City 2
C049,C049,Region 2,City 20
C083,C083,Region 1,City 24
C043,C043,Region 9,City 14
C211,C211,Region 9,City 2
C136,C136,Region 5,City 17
C247,C247,Region 6,City 8
C113,C113,Region 8,City 24
C159,C159,Region 9,City 10
C242,C242,Region 7,City 3
C005,C005,Region 8,City 6
C191,C191,Region 5,City 12
C230,C230,Region 1,City 21
C143,C143,Region 8,City 24
C105,C105,Region 7,City 16
C118,C118,Region 4,City 29
C011,C011,Region 6,City 12
C031,C031,Region 5,City 2
C110,C110,Region 3,City 21
C196,C196,Region 6,City 17
C072,C072,Region 9,City 13
C040,C040,Region 3,City 11
C024,C024,Region 2,City 25
C048,C048,Region 10,City 19
C114,C114,Region 5,City 25
C005,C005,Region 8,City 6
C240,C240,Region 5,City 1
C151,C151,Region 10,City 2
C189,C189,Region 9,City 10
C144,C144,Region 4,City 25
C095,C095,Region 7,City 6
C249,C249,Region 2,City 10
C166,C166,Region 5,City 17
C186,C186,Region 8,City 7
C293,C293,Region 3,City 24
C204,C204,Region 3,City 25
C281,C281,Region 8,City 12
C171,C171,Region 3,City 22
C061,C061,Region 1,City 2
C264,C264,Region 2,City 25
C178,C178,Region 3,City 29
C062,C062,Region 8,City 3
C182,C182,Region 5,City 3
C032,C032,Region 4,City 3
C248,C248,Region 6,City 9
C215,C215,Region 9,City 6
C058,C058,Region 4,City 29
C284,C284,Region 8,City 15
C135,C135,Region 2,City 16
C136,C136,Region 5,City 17
C043,C043,Region 9,City 14
C107,C107,Region 5,City 18
C200,C200,Region 3,City 21
C107,C107,Region 5,City 18
C054,C054,Region 10,City 25
C278,C278,Region 2,City 9
C286,C286,Region 10,City 17
C219,C219,Region 1,City 10
C089,C089,Region 3,City 30
C073,C073,Region 7,City 14
C239,C239,Region 2,City 30
C091,C091,Region 8,City 2
C066,C066,Region 5,City 7
C204,C204,Region 3,City 25
C139,C139,Region 8,City 20
C297,C297,Region 8,City 28
C031,C031,Region 5,City 2
C049,C049,Region 2,City 20
C193,C193,Region 4,City 14
C046,C046,Region 4,City 17
C186,C186,Region 8,City 7
C100,C100,Region 1,City 11
C181,C181,Region 4,City 2
C214,C214,Region 3,City 5
C170,C170,Region 4,City 21
C058,C058,Region 4,City 29
C015,C015,Region 6,City 16
C192,C192,Region 3,City 13
C084,C084,Region 9,City 25
C075,C075,Region 3,City 16
C277,C277,Region 10,City 8
C207,C207,Region 2,City 28
C100,C100,Region 1,City 11
C187,C187,Region 3,City 8
C179,C179,Region 5,City 30
C138,C138,Region 2,City 19
C250,C250,Region 5,City 11
C275,C275,Region 9,City 6
C276,C276,Region 2,City 7
C100,C100,Region 1,City 11
C123,C123,Region 5,City 4
C105,C105,Region 7,City 16
C240,C240,Region 5,City 1
C174,C174,Region 10,City 25
C267,C267,Region 5,City 28
C141,C141,Region 2,City 22
C191,C191,Region 5,City 12
C032,C032,Region 4,City 3
C101,C101,Region 7,City 12
C161,C161,Region 10,City 12
C277,C277,Region 10,City 8
C107,C107,Region 5,City 18
C012,C012,Region 1,City 13
C036,C036,Region 9,City 7
C149,C149,Region 9,City 30
C084,C084,Region 9,City 25
C085,C085,Region 3,City 26
C182,C182,Region 5,City 3
C159,C159,Region 9,City 10
C131,C131,Region 7,City 12
C253,C253,Region 7,City 14
C181,C181,Region 4,City 2
C056,C056,Region 10,City 27
C251,C251,Region 1,City 12
C060,C060,Region 4,City 1
C262,C262,Region 3,City 23
C229,C229,Region 2,City 20
C216,C216,Region 9,City 7
C239,C239,Region 2,City 30
C046,C046,Region 4,City 17
C105,C105,Region 7,City 16
